country_code,year_month,gdp,inflation,population
BRA,2024-01,2185821648943.86,4.36746407652336,211998573.0
BRA,2024-02,2185821648943.86,4.36746407652336,211998573.0
BRA,2024-03,2185821648943.86,4.36746407652336,211998573.0
BRA,2024-04,2185821648943.86,4.36746407652336,211998573.0
BRA,2024-05,2185821648943.86,4.36746407652336,211998573.0
BRA,2024-06,2185821648943.86,4.36746407652336,211998573.0
BRA,2024-07,2185821648943.86,4.36746407652336,211998573.0
BRA,2024-08,2185821648943.86,4.36746407652336,211998573.0
BRA,2024-09,2185821648943.86,4.36746407652336,211998573.0
BRA,2024-10,2185821648943.86,4.36746407652336,211998573.0
